nom_du_produit;id_categorie;id_produit;nom_de_la_categorie
"Stylage M (2x1ml) - VIVACY";86;121;"Dermal Filler"
"STYLAGE M Lidocaïne (2x1ml) - VIVACY";86;122;"Dermal Filler"
"STYLAGE XL Lidocaine (2x1ml)";86;123;"Dermal Filler"
"STYLAGE S (2x0,8ml) - VIVACY";86;124;"Dermal Filler"
"STYLAGE S Lidocaïne (2x0,8ml)";86;125;"Dermal Filler"
"STYLAGE XXL  (2x1ml)";86;126;"Dermal Filler"
"DESIRIAL (stylage) (1x1ml)";2;127;Accueil
"STYLAGE LIPS MEPIVACAINE (1x1ml)";86;128;"Dermal Filler"
"Silhouette Soft 8 Cones – Sinclair Pharma";108;129;"FILS TENSEURS / THREADS"
"Silhouette Soft 12 Cones – Sinclair Pharma";108;130;"FILS TENSEURS / THREADS"
"Silhouette Soft 16 Cones – Sinclair Pharma";108;131;"FILS TENSEURS / THREADS"
"DESIRIAL PLUS (stylage) (4ML de 2x2ml)";2;132;Accueil
"etermis 3";86;142;"Dermal Filler"
"etermis 4";86;143;"Dermal Filler"
"RADIESSE (1x0,8ml)";86;144;"Dermal Filler"
"RADIESSE (1x1.5ml)";86;145;"Dermal Filler"
"RADIESSE (1x3ml)";86;146;"Dermal Filler"
"Belotero Soft 1ml";86;147;"Dermal Filler"
"BELOTERO Balance";86;148;"Dermal Filler"
"BELOTERO Intense";86;149;"Dermal Filler"
"BELOTERO Volume";86;150;"Dermal Filler"
"BELOTERO Hydro";86;151;"Dermal Filler"
"Revitalash Revitabrow Soin pour les Sourcils 3 ml";52;152;RevitaLash
"NEAUVIA Organic Intense 1ml";86;168;"Dermal Filler"
"NEAUVIA Organic Intense LV 1ml";86;170;"Dermal Filler"
"NEAUVIA Organic Intense Lips 1ml";86;171;"Dermal Filler"
"Neauvia Organic Intense Rhéology 1ml";86;172;"Dermal Filler"
"NEAUVIA Organic Stimulate 1ml";86;173;"Dermal Filler"
"NEAUVIA Organic Rose intense";86;174;"Dermal Filler"
"NEAUVIA HYDRO DELUXE 2 (2 x 2,5 ml)";86;179;"Dermal Filler"
"VCARBON PEELING BIOREVITALISANT ";88;188;Peeling
"FIGURHA INTENSO ( 1x1.25ml )";86;194;"Dermal Filler"
"JUVEDERM VOLITE (2x1ml)";96;195;MESOTHERAPIE
"HYAMIRA BASIC 1ML";86;197;"Dermal Filler"
"FIGURHA VOLUMO ( 2x1.25 ml)";86;198;"Dermal Filler"
"FIGURHA INITIO  ( 1x1.25ml )";86;199;"Dermal Filler"
"FIGURHA LIP CONTOUR   ( 1x1.25ml )";86;200;"Dermal Filler"
"FIGURHA EYELIGHTS  ( 1x1.25 ml)";86;201;"Dermal Filler"
"SIMETRO 1.25 ML ( Equivalent à RADIESSE)";86;202;"Dermal Filler"
"HYAMIRA SOFT 1ML";86;203;"Dermal Filler"
"SkinFill Silver Plus 2x1ml";86;204;"Dermal Filler"
"SkinFill Gold Plus 2x1ml";86;205;"Dermal Filler"
"SkinFill Diamond Plus 2x1ml";86;206;"Dermal Filler"
"Aqualyx 10x8ml";96;207;MESOTHERAPIE
"PACK BTX GOLD - MCCM";96;208;MESOTHERAPIE
"PACK PLATINUM - MCCM";96;210;MESOTHERAPIE
"PACK SMART ANTIAGE - MCCM";2;211;Accueil
"Glutathion 1500 UI - MCCM";96;212;MESOTHERAPIE
"PEELING ACIDE TRANEXAMIQUE T50T35 - MCCM";88;213;Peeling
"DEOXYCHOLIC 1500 UI";2;214;Accueil
"PACK CVITA 180° - MCCM";96;215;MESOTHERAPIE
"Facial Tonic 200ml - MCCM";2;216;Accueil
"MASQUE ANTI AGE CONTOUR DES YEUX - MCCM";2;218;Accueil
"Masque hydratant au btx 6x20ml - MCCM";2;219;Accueil
"Lait Nettoyant Pro 500ml - MCCM";2;220;Accueil
"A20P Peeling 10x5ml - MCCM";88;221;Peeling
"Peeling K33P - MCCM";88;222;Peeling
"Crème magique XR Cell";68;224;MCCM
"CREME A L'ARGIRELINE ANTI RIDE - MCCM";68;225;MCCM
"Performances des cellules XR";68;226;MCCM
"Crème douce équilibre";68;227;MCCM
"Crème VLIFTING - MCCM";68;228;MCCM
"Crème dorée BTX";68;229;MCCM
"Crème 24H DNA Platinum";68;230;MCCM
"CRÈME SMART ANTI-AGING";68;231;MCCM
"CRÈME CHAMPAGNE";68;232;MCCM
"CRÈME HYDRAFACE";68;233;MCCM
"CRÈME PURIFIANTE";68;234;MCCM
"REGENERATOR CRÈME";68;235;MCCM
"CRÈME ANTIAGE";68;236;MCCM
"CRÈME GLUTATHION";68;237;MCCM
"CRÈME VITAMINE C 180";68;238;MCCM
"CRÈME PROTEOHYDRA";68;239;MCCM
"CRÈME ANTISMOG";68;240;MCCM
"CRÈME PORESREPAIR";68;241;MCCM
"CRÈME WA ARBUTINE - MCCM";68;242;MCCM
"CRÈME ATOPICAL - MCCM";68;243;MCCM
"PEELING LACTIC ACID 45% - MCCM";68;244;MCCM
"PEELING GLUTATHION 100ml - MCCM";88;245;Peeling
"COLLAGÈNE ANTI-AGE À BOIRE - MCCM";68;246;MCCM
"MELANO OUT CRÈME - MCCM";68;247;MCCM
"BTX ARGIRELINE 20x2ml - MCCM";68;250;MCCM
"Intimate Whitening - MCCM";68;251;MCCM
"CELLESTABYL Anti cellulite ( double menton cellulite localisée)- MCCM";68;252;MCCM
"B-Complex vitamines - MCCM";68;253;MCCM
"CELLULITE COCKTAIL (meso) 5x10ml - MCCM";68;254;MCCM
"CELLULITE COCKTAIL (meso) 10x5 ml - MCCM";68;255;MCCM
"CLH Lipase 5x10ml - MCCM";68;256;MCCM
"ANTIAGING COCKTAIL 5x10ml - MCCM";68;257;MCCM
"Hair Cocktail 5x10ml - MCCM";68;258;MCCM
"Whitening Meso Cocktail MCCM 10 x 5ml";68;259;MCCM
"Out Contour 5x10ml - MCCM";68;260;MCCM
"Fat Burner Meso Cocktails 5x10ml - MCCM";68;262;MCCM
"Skin repair Meso 10x5ml - MCCM";68;263;MCCM
"Lipo Firming 5x10ml - MCCM";68;264;MCCM
"Melano Out 5x10ml - MCCM";68;265;MCCM
"Deoxycholic 10% 5x10ml - MCCM";68;266;MCCM
"Biotine Hixidrin 20 x 2ml - MCCM";68;267;MCCM
"Dexpanthenol 20x5ml - MCCM";68;268;MCCM
"LAURETH 0.5 % 20 x 2ml - MCCM";68;269;MCCM
"L-CARNITINE 100 x 5ml - MCCM";68;270;MCCM
"L CARNITINE 20x5ml - MCCM";68;271;MCCM
"Caféine 10% 100 x 1ml - MCCM";68;272;MCCM
"Caféine 10% 20 x 1ml - MCCM";68;273;MCCM
"Artichoke 100 x 5ml - MCCM";68;274;MCCM
"Artichoke 20 x 5ml - MCCM";68;275;MCCM
"DNA MESO GEL 20 x 2.5ml - MCCM";68;276;MCCM
"DNA MESO (stimule la régénération des cellules et le tissu conjonctif) 5 x 5ml - MCCM";68;277;MCCM
"MELILOTUS 20 x 2 ml - MCCM";68;278;MCCM
"Glutathion 20% 20x5ml - MCCM";68;279;MCCM
"Phosphatidylcholine 5% 20 x 5ml - MCCM";68;280;MCCM
"Phosphatidylcholine 5% 100 x 2ml - MCCM";68;282;MCCM
"PHOSPHATIDYLCHOLINE 5% (10x5ml)";68;283;MCCM
"Asian Centella 20 x 5ml - MCCM";68;284;MCCM
"Oligoelements 20 x 5 ml - MCCM";68;285;MCCM
"VITAMINES AEC 20 x 5ml - MCCM";68;286;MCCM
"Hyaluronidase Liquide 20 x 5ml - MCCM";68;287;MCCM
