nom_produit;quantite_totale_vendue;prix_vente_total;prix_achat_total;marge_totale;pourcentage_marge
"AGE REBOOST - Crème Restructurante Anti-Âge | Vivacy";1;100.000000;50.000000;50.000000;50.0000000000
"Infini Eye Booster";1;59.990000;37.790000;22.200000;37.0061676946
"POST-PEEL 50 ML - SIMILCARE";1;12.416667;8.690000;3.726667;30.0134246976
"DIVES ACNEOUT 10x5ml";1;152.500000;107.100000;45.400000;29.7704918033
"RESTYLANE Lidocaïne (1x1ml)";1;75.583333;66.959999;8.623334;11.4090417262
"RESTYLANE SKINBOOSTER Lidocaïne (1x1ml)";1;59.166667;47.760000;11.406667;19.2788736942
"Hair Vital 4x2,5ml - INNOAESTHETICS";1;35.000000;21.000000;14.000000;40.0000000000
"MESORAM NEEDLES 30G/0.3x25 MM";1;24.083333;15.130000;8.953333;37.1764697187
"Dépigmentant Renforcé -CEBELIA";1;42.037333;26.810000;15.227333;36.2233565103
"Canules Magic Needle 25G/60 (boite de 25 canules)";1;66.666667;47.500000;19.166667;28.7500003562
"JUVEDERM VOLUMA avec Lidocaïne (2x1ml)";1;234.000000;170.100000;63.900000;27.3076923077
"Face Nade 4x2,5ml - INNOAESTHETICS";1;34.000000;12.600000;21.400000;62.9411764706
"BELOTERO Balance Lidocaine";1;68.833333;63.000000;5.833333;8.4745758280
"L'Esthetic Paris Neutralizer Solution 50ml";1;29.166667;15.000000;14.166667;48.5714291592
"INFINI FILLER S";1;57.050000;28.000000;29.050000;50.9202453988
"ME LINE 01 - PEELING & PREP PEAU ETHNIQUE";1;92.500000;63.000000;29.500000;31.8918918919
"Teosyal Puresense Redensity 1 (2x1ml)";1;74.166667;49.000000;25.166667;33.9325845666
"ME LINE 02 DARK CIRCLES";1;72.416667;39.500000;32.916667;45.4545457056
"Aiguille TSK The Invisible Needle 34g*9 mm";1;81.666667;67.000000;14.666667;17.9591840083
"Fat Burner Meso Cocktails 5x10ml - MCCM";1;58.750000;35.940000;22.810000;38.8255319149
"MESORAM NEEDLES 27G/0.4x12 MM Extra Fine";1;20.708333;13.650000;7.058333;34.0845059812
"Artichoke 100 x 5ml - MCCM";1;58.916667;46.140000;12.776667;21.6859976142
"TEOSYAL PureSense Kiss";1;195.000000;124.000000;71.000000;36.4102564103
"Whitening Meso Cocktail MCCM 10 x 5ml";1;85.250000;42.600000;42.650000;50.0293255132
"JALUPRO SUPER HYDRO";1;79.166667;70.000000;9.166667;11.5789477407
"N-Premium Meso 5x10ml - INFINI";1;89.166667;62.300000;26.866667;30.1308413827
"ME LINE 02 SPOTS";1;72.416667;39.500000;32.916667;45.4545457056
"MESORAM NEEDLES 30G/0.3x4MM";1;24.083333;15.990000;8.093333;33.6055354132
"ME LINE 02  PEAU ETHNIQUE NIGHT";1;72.416667;39.500000;32.916667;45.4545457056
"MESORAM NEEDLES 32G/0.2x4 MM";1;33.291666;22.400000;10.891666;32.7158935212
