id_product;reference;price;id_shop_default;is_virtual;name;link_rewrite;active;shopname;id_image;name_category;price_final;nb_downloadable;sav_quantity;badge_danger;seo_score;readability_score;key_phrase
120;9999900003031;125.833333;1;0;"STYLAGE L Lidocaine (2x1ml)";stylage-l-lidocaine-2x1ml;1;"Hyaluronic Filler Market";566;"Dermal Filler";0;;965;0;0;57;
121;9999900001808;99.150000;1;0;"Stylage M (2x1ml) - VIVACY";stylage-m;1;"Hyaluronic Filler Market";567;"Dermal Filler";0;;674;0;165;57;"Stylage M"
122;9999900004205;115.833333;1;0;"STYLAGE M Lidocaïne (2x1ml) - VIVACY";stylage-m-lidocaine-2x1ml;1;"Hyaluronic Filler Market";573;"Dermal Filler";0;;886;0;0;57;
123;9999900004137;149.083333;1;0;"STYLAGE XL Lidocaine (2x1ml)";stylage-xl-lidocaine-2x1ml;1;"Hyaluronic Filler Market";572;"Dermal Filler";0;;989;0;0;57;
124;9999900004892;90.000000;1;0;"STYLAGE S (2x0,8ml) - VIVACY";stylage-s-2x1ml;1;"Hyaluronic Filler Market";568;"Dermal Filler";0;;1951;0;156;57;"STYLAGE S"
125;9999900008159;105.000000;1;0;"STYLAGE S Lidocaïne (2x0,8ml)";stylage-s-lidocaine-2x1ml;1;"Hyaluronic Filler Market";571;"Dermal Filler";0;;474;0;0;57;
126;9999900001792;150.833333;1;0;"STYLAGE XXL  (2x1ml)";stylage-xxl-2x1ml;1;"Hyaluronic Filler Market";569;"Dermal Filler";0;;1975;0;0;57;
127;9999900005882;135.000000;1;0;"DESIRIAL (stylage) (2x1ml)";stylage-desirial-2x1ml;1;"Hyaluronic Filler Market";663;Accueil;0;;21;0;0;51;
128;;70.750000;1;0;"STYLAGE LIPS MEPIVACAINE (1x1ml)";stylage-lips-lidocaine-1x1ml;0;"Hyaluronic Filler Market";575;"Dermal Filler";0;;28;0;0;57;
129;;716.666667;1;0;"Silhouette Soft 8 Cones – Sinclair Pharma";silhouette-soft-8-cones;1;"Hyaluronic Filler Market";254;"FILS TENSEURS / THREADS";0;;97;0;0;57;
130;;800.000000;1;0;"Silhouette Soft 12 Cones – Sinclair Pharma";silhouette-soft-8-cones;1;"Hyaluronic Filler Market";255;"FILS TENSEURS / THREADS";0;;100;0;0;57;
131;;1170.833333;1;0;"Silhouette Soft 16 Cones – Sinclair Pharma";silhouette-soft-16-cones;1;"Hyaluronic Filler Market";256;"FILS TENSEURS / THREADS";0;;100;0;0;57;
132;9999900006766;210.000000;1;0;"DESIRIAL PLUS (stylage) (1x2ml)";stylage-desirial-plus-1x2ml;1;"Hyaluronic Filler Market";664;Accueil;0;;25;0;0;51;
142;;108.333333;1;0;"etermis 3";glytone-3-1x1ml;0;"Hyaluronic Filler Market";342;"Dermal Filler";0;;100;0;10;57;
143;;108.333333;1;0;"etermis 4";glytone-4-2x1ml;0;"Hyaluronic Filler Market";343;"Dermal Filler";0;;48;0;0;0;
144;;57.500000;1;0;"RADIESSE (1x0,8ml)";radiesse-1x08ml;0;"Hyaluronic Filler Market";303;"Dermal Filler";0;;21;0;4;57;
